t_s,stage,q_rad,dq_rad_s,tau_Nm,q_ref_rad,dq_ref_rad_s,dq_filt_rad_s
0.260713,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000,-0.1290844934
0.265770,to_zero_prehold,2.906516790,-0.171806246,-0.003906250,2.906708717,0.000000000,-0.1471820747
0.270720,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1593114779
0.275780,to_zero_prehold,2.906516790,-0.245437503,0.003906250,2.906708717,0.000000000,-0.1505664544
0.280740,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000,-0.1188274665
0.285725,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1515808952
0.290723,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000,-0.1615862302
0.295717,to_zero_prehold,2.906516790,-0.171806246,0.000000000,2.906708717,0.000000000,-0.1572171575
0.300717,to_zero_prehold,2.906708717,0.122718751,0.003906250,2.906708717,0.000000000,-0.1493121168
0.305814,to_zero_prehold,2.906516790,-0.294524997,-0.003906250,2.906708717,0.000000000,-0.2073393936
0.310727,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.2442354329
0.315724,to_zero_prehold,2.906325102,-0.515418768,0.000000000,2.906708717,0.000000000,-0.2808401255
0.320792,to_zero_prehold,2.906516790,-0.171806246,0.000000000,2.906708717,0.000000000,-0.2605898237
0.325744,to_zero_prehold,2.906516790,-0.294524997,0.000000000,2.906708717,0.000000000,-0.2618580614
0.330802,to_zero_prehold,2.906516790,-0.269981235,0.000000000,2.906708717,0.000000000,-0.2552087905
0.336021,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000,-0.2449791116
0.340728,to_zero_prehold,2.906516790,-0.245437503,0.003906250,2.906708717,0.000000000,-0.2405870176
0.345739,to_zero_prehold,2.906516790,-0.319068760,0.000000000,2.906708717,0.000000000,-0.235019308
0.350727,to_zero_prehold,2.906325102,-0.245437503,0.000000000,2.906708717,0.000000000,-0.2090804722
0.355819,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1743297566
0.360837,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000,-0.1223446053
0.365734,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1297556362
0.370801,to_zero_prehold,2.906516790,0.122718751,-0.003906250,2.906708717,0.000000000,-0.1091287697
0.375987,to_zero_prehold,2.906708717,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1446949539
0.380884,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1558440939
0.385706,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000,-0.1452784147
0.390693,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1877700284
0.395741,to_zero_prehold,2.906516790,-0.196349993,0.000000000,2.906708717,0.000000000,-0.2162847348
0.400695,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.2496310389
0.405698,to_zero_prehold,2.906325102,-0.589049995,0.000000000,2.906708717,0.000000000,-0.2839937333
0.410695,to_zero_prehold,2.906516790,-0.196349993,0.003906250,2.906708717,0.000000000,-0.2444197219
